contig	cov_mean_sample_idba_ud_perc100_sorted
contig-100_9.8	16.089
contig-100_9.9	14.487
contig-100_9.10	16.677
contig-100_9.11	15.428
contig-100_9.12	18.350
contig-100_9.13	15.268
contig-100_9.14	17.103
contig-100_9.15	17.029
contig-100_9.16	17.279
contig-100_9.17	16.690
contig-100_9.18	17.423
contig-100_9.19	17.250
contig-100_9.20	16.072
contig-100_9.21	16.554
contig-100_9.22	17.288
contig-100_9.23	17.926
contig-100_9.24	16.364
contig-100_9.25	16.129
contig-100_9.26	15.123
contig-100_9.27	16.531
contig-100_9.28	18.299
contig-100_9.29	15.836
contig-100_9.30	16.730
contig-100_9.31	18.120
contig-100_9.32	17.280
contig-100_10.0	12.941
contig-100_10.1	11.744
contig-100_10.2	11.165
contig-100_10.3	11.970
contig-100_10.4	12.817
contig-100_10.5	10.968
contig-100_10.6	12.796
contig-100_10.7	12.649
contig-100_10.8	10.497
contig-100_10.9	12.447
contig-100_10.10	12.192
contig-100_10.11	11.095
contig-100_10.12	12.143
contig-100_10.13	12.249
contig-100_10.14	11.294
contig-100_10.15	12.431
contig-100_10.16	12.476
contig-100_10.17	10.978
contig-100_10.18	11.094
contig-100_10.19	11.326
contig-100_10.20	11.723
contig-100_10.21	12.169
contig-100_10.22	12.153
contig-100_10.23	12.004
contig-100_10.24	13.052
contig-100_10.25	11.388
contig-100_10.26	12.236
contig-100_10.27	12.982
contig-100_10.28	12.152
contig-100_10.29	11.454
contig-100_10.30	11.411
contig-100_11.0	17.263
contig-100_11.1	17.276
contig-100_11.2	16.260
contig-100_11.3	16.026
contig-100_11.4	17.140
contig-100_11.5	17.626
contig-100_11.6	18.052
contig-100_11.7	16.761
contig-100_11.8	17.273
contig-100_11.9	16.084
contig-100_11.10	17.587
contig-100_11.11	18.059
contig-100_11.12	17.176
contig-100_11.13	16.377
contig-100_11.14	16.411
contig-100_11.15	16.554
contig-100_11.16	16.459
contig-100_11.17	16.815
contig-100_11.18	17.258
contig-100_11.19	17.083
contig-100_11.20	16.971
contig-100_11.21	16.189
contig-100_11.22	17.354
contig-100_11.23	17.826
contig-100_11.24	16.888
contig-100_11.25	16.954
contig-100_11.26	16.260
contig-100_11.27	17.775
contig-100_11.28	15.533
contig-100_11.29	17.452
contig-100_11.30	14.998
contig-100_12.0	28.506
contig-100_12.1	30.128
contig-100_12.2	28.117
contig-100_12.3	27.994
contig-100_12.4	26.288
contig-100_12.5	26.971
contig-100_12.6	28.312
contig-100_12.7	27.180
contig-100_12.8	27.406
contig-100_12.9	26.960
contig-100_12.10	29.735
contig-100_12.11	27.828
contig-100_12.12	26.523
contig-100_12.13	28.550
contig-100_12.14	31.331
contig-100_12.15	27.527
contig-100_12.16	28.758
contig-100_12.17	27.551
contig-100_12.18	29.444
contig-100_12.19	26.683
contig-100_12.20	26.417
contig-100_12.21	27.273
contig-100_12.22	29.034
contig-100_12.23	27.343
contig-100_12.24	29.580
contig-100_12.25	28.689
contig-100_12.26	28.422
contig-100_12.27	27.990
contig-100_12.28	28.835
contig-100_13.0	24.760
contig-100_13.1	26.931
contig-100_13.2	25.021
contig-100_13.3	27.418
contig-100_13.4	26.524
contig-100_13.5	25.523
contig-100_13.6	27.622
contig-100_13.7	24.939
contig-100_13.8	25.856
contig-100_13.9	26.187
contig-100_13.10	24.722
contig-100_13.11	25.090
contig-100_13.12	26.202
contig-100_13.13	25.783
contig-100_13.14	23.882
contig-100_13.15	26.377
contig-100_13.16	26.159
contig-100_13.17	24.457
contig-100_13.18	25.721
contig-100_13.19	26.286
contig-100_13.20	27.085
contig-100_13.21	27.317
contig-100_13.22	25.744
contig-100_13.23	26.253
contig-100_13.24	27.459
contig-100_13.25	24.331
contig-100_13.26	26.556
contig-100_14.0	11.990
contig-100_14.1	11.922
contig-100_14.2	12.243
contig-100_14.3	12.595
contig-100_14.4	10.981
contig-100_14.5	12.367
contig-100_14.6	10.574
contig-100_14.7	11.642
contig-100_14.8	11.582
contig-100_14.9	12.074
contig-100_14.10	12.611
contig-100_14.11	12.194
contig-100_14.12	12.692
contig-100_14.13	11.717
contig-100_14.14	12.481
contig-100_14.15	12.879
contig-100_14.16	11.681
contig-100_14.17	12.584
contig-100_14.18	11.742
contig-100_14.19	11.208
contig-100_14.20	11.963
contig-100_14.21	12.467
contig-100_14.22	12.825
contig-100_14.23	12.363
contig-100_14.24	12.032
contig-100_14.25	10.293
contig-100_15.0	11.639
contig-100_15.1	11.776
contig-100_15.2	11.474
contig-100_15.3	13.191
contig-100_15.4	12.444
contig-100_15.5	13.099
