contig	cov_mean_sample_metaspades_perc100_sorted
NODE_2_length_1182245_cov_12.544720.24	17.217
NODE_2_length_1182245_cov_12.544720.25	17.075
NODE_2_length_1182245_cov_12.544720.26	16.533
NODE_2_length_1182245_cov_12.544720.27	15.012
NODE_2_length_1182245_cov_12.544720.28	17.448
NODE_2_length_1182245_cov_12.544720.29	15.594
NODE_2_length_1182245_cov_12.544720.30	17.549
NODE_2_length_1182245_cov_12.544720.31	16.576
NODE_2_length_1182245_cov_12.544720.32	16.813
NODE_2_length_1182245_cov_12.544720.33	15.592
NODE_2_length_1182245_cov_12.544720.34	18.053
NODE_2_length_1182245_cov_12.544720.35	17.711
NODE_2_length_1182245_cov_12.544720.36	15.371
NODE_2_length_1182245_cov_12.544720.37	15.890
NODE_2_length_1182245_cov_12.544720.38	16.717
NODE_2_length_1182245_cov_12.544720.39	16.060
NODE_2_length_1182245_cov_12.544720.40	16.991
NODE_2_length_1182245_cov_12.544720.41	17.645
NODE_2_length_1182245_cov_12.544720.42	17.551
NODE_2_length_1182245_cov_12.544720.43	16.766
NODE_2_length_1182245_cov_12.544720.44	17.196
NODE_2_length_1182245_cov_12.544720.45	17.819
NODE_2_length_1182245_cov_12.544720.46	15.978
NODE_2_length_1182245_cov_12.544720.47	15.862
NODE_2_length_1182245_cov_12.544720.48	16.087
NODE_2_length_1182245_cov_12.544720.49	16.390
NODE_2_length_1182245_cov_12.544720.50	17.262
NODE_2_length_1182245_cov_12.544720.51	18.649
NODE_2_length_1182245_cov_12.544720.52	14.909
NODE_2_length_1182245_cov_12.544720.53	17.136
NODE_2_length_1182245_cov_12.544720.54	16.140
NODE_2_length_1182245_cov_12.544720.55	16.665
NODE_2_length_1182245_cov_12.544720.56	17.637
NODE_2_length_1182245_cov_12.544720.57	14.541
NODE_2_length_1182245_cov_12.544720.58	16.095
NODE_2_length_1182245_cov_12.544720.59	16.298
NODE_2_length_1182245_cov_12.544720.60	15.988
NODE_2_length_1182245_cov_12.544720.61	15.851
NODE_2_length_1182245_cov_12.544720.62	16.561
NODE_2_length_1182245_cov_12.544720.63	16.165
NODE_2_length_1182245_cov_12.544720.64	17.964
NODE_2_length_1182245_cov_12.544720.65	16.901
NODE_2_length_1182245_cov_12.544720.66	16.472
NODE_2_length_1182245_cov_12.544720.67	16.878
NODE_2_length_1182245_cov_12.544720.68	17.616
NODE_2_length_1182245_cov_12.544720.69	16.584
NODE_2_length_1182245_cov_12.544720.70	14.348
NODE_2_length_1182245_cov_12.544720.71	17.655
NODE_2_length_1182245_cov_12.544720.72	16.368
NODE_2_length_1182245_cov_12.544720.73	15.506
NODE_2_length_1182245_cov_12.544720.74	16.905
NODE_2_length_1182245_cov_12.544720.75	16.379
NODE_2_length_1182245_cov_12.544720.76	17.997
NODE_2_length_1182245_cov_12.544720.77	16.715
NODE_2_length_1182245_cov_12.544720.78	17.115
NODE_2_length_1182245_cov_12.544720.79	17.831
NODE_2_length_1182245_cov_12.544720.80	15.366
NODE_2_length_1182245_cov_12.544720.81	18.469
NODE_2_length_1182245_cov_12.544720.82	16.713
NODE_2_length_1182245_cov_12.544720.83	17.759
NODE_2_length_1182245_cov_12.544720.84	16.133
NODE_2_length_1182245_cov_12.544720.85	16.988
NODE_2_length_1182245_cov_12.544720.86	15.539
NODE_2_length_1182245_cov_12.544720.87	15.929
NODE_2_length_1182245_cov_12.544720.88	16.317
NODE_2_length_1182245_cov_12.544720.89	16.800
NODE_2_length_1182245_cov_12.544720.90	17.157
NODE_2_length_1182245_cov_12.544720.91	17.623
NODE_2_length_1182245_cov_12.544720.92	14.954
NODE_2_length_1182245_cov_12.544720.93	15.468
NODE_2_length_1182245_cov_12.544720.94	16.131
NODE_2_length_1182245_cov_12.544720.95	17.413
NODE_2_length_1182245_cov_12.544720.96	18.948
NODE_2_length_1182245_cov_12.544720.97	17.508
NODE_2_length_1182245_cov_12.544720.98	16.112
NODE_2_length_1182245_cov_12.544720.99	17.104
NODE_2_length_1182245_cov_12.544720.100	15.392
NODE_2_length_1182245_cov_12.544720.101	17.454
NODE_2_length_1182245_cov_12.544720.102	17.430
NODE_2_length_1182245_cov_12.544720.103	15.053
NODE_2_length_1182245_cov_12.544720.104	16.490
NODE_2_length_1182245_cov_12.544720.105	17.820
NODE_2_length_1182245_cov_12.544720.106	16.280
NODE_2_length_1182245_cov_12.544720.107	15.897
NODE_2_length_1182245_cov_12.544720.108	16.257
NODE_2_length_1182245_cov_12.544720.109	16.587
NODE_2_length_1182245_cov_12.544720.110	16.541
NODE_2_length_1182245_cov_12.544720.111	17.108
NODE_2_length_1182245_cov_12.544720.112	14.397
NODE_2_length_1182245_cov_12.544720.113	17.250
NODE_2_length_1182245_cov_12.544720.114	17.512
NODE_2_length_1182245_cov_12.544720.115	16.565
NODE_2_length_1182245_cov_12.544720.116	16.055
NODE_2_length_1182245_cov_12.544720.117	18.203
NODE_3_length_1094599_cov_12.696194.0	16.575
NODE_3_length_1094599_cov_12.696194.1	16.262
NODE_3_length_1094599_cov_12.696194.2	16.578
NODE_3_length_1094599_cov_12.696194.3	15.578
NODE_3_length_1094599_cov_12.696194.4	16.392
NODE_3_length_1094599_cov_12.696194.5	17.523
NODE_3_length_1094599_cov_12.696194.6	17.583
NODE_3_length_1094599_cov_12.696194.7	17.782
NODE_3_length_1094599_cov_12.696194.8	16.688
NODE_3_length_1094599_cov_12.696194.9	15.488
NODE_3_length_1094599_cov_12.696194.10	17.669
NODE_3_length_1094599_cov_12.696194.11	19.175
NODE_3_length_1094599_cov_12.696194.12	16.382
NODE_3_length_1094599_cov_12.696194.13	16.243
NODE_3_length_1094599_cov_12.696194.14	16.165
NODE_3_length_1094599_cov_12.696194.15	17.315
NODE_3_length_1094599_cov_12.696194.16	17.648
NODE_3_length_1094599_cov_12.696194.17	16.528
NODE_3_length_1094599_cov_12.696194.18	16.081
NODE_3_length_1094599_cov_12.696194.19	16.056
NODE_3_length_1094599_cov_12.696194.20	16.524
NODE_3_length_1094599_cov_12.696194.21	16.683
NODE_3_length_1094599_cov_12.696194.22	16.841
NODE_3_length_1094599_cov_12.696194.23	16.613
NODE_3_length_1094599_cov_12.696194.24	16.019
NODE_3_length_1094599_cov_12.696194.25	15.358
NODE_3_length_1094599_cov_12.696194.26	17.031
NODE_3_length_1094599_cov_12.696194.27	17.605
NODE_3_length_1094599_cov_12.696194.28	17.179
NODE_3_length_1094599_cov_12.696194.29	17.141
NODE_3_length_1094599_cov_12.696194.30	16.508
NODE_3_length_1094599_cov_12.696194.31	17.672
NODE_3_length_1094599_cov_12.696194.32	18.614
NODE_3_length_1094599_cov_12.696194.33	18.080
NODE_3_length_1094599_cov_12.696194.34	17.035
NODE_3_length_1094599_cov_12.696194.35	16.154
NODE_3_length_1094599_cov_12.696194.36	16.313
NODE_3_length_1094599_cov_12.696194.37	18.926
NODE_3_length_1094599_cov_12.696194.38	16.599
NODE_3_length_1094599_cov_12.696194.39	17.111
NODE_3_length_1094599_cov_12.696194.40	16.580
NODE_3_length_1094599_cov_12.696194.41	15.402
NODE_3_length_1094599_cov_12.696194.42	14.589
NODE_3_length_1094599_cov_12.696194.43	16.635
NODE_3_length_1094599_cov_12.696194.44	16.244
NODE_3_length_1094599_cov_12.696194.45	17.276
NODE_3_length_1094599_cov_12.696194.46	16.529
NODE_3_length_1094599_cov_12.696194.47	16.055
NODE_3_length_1094599_cov_12.696194.48	16.123
NODE_3_length_1094599_cov_12.696194.49	16.801
NODE_3_length_1094599_cov_12.696194.50	18.947
NODE_3_length_1094599_cov_12.696194.51	15.338
NODE_3_length_1094599_cov_12.696194.52	14.963
NODE_3_length_1094599_cov_12.696194.53	16.893
NODE_3_length_1094599_cov_12.696194.54	16.973
NODE_3_length_1094599_cov_12.696194.55	16.844
NODE_3_length_1094599_cov_12.696194.56	16.957
NODE_3_length_1094599_cov_12.696194.57	15.953
NODE_3_length_1094599_cov_12.696194.58	16.877
NODE_3_length_1094599_cov_12.696194.59	15.902
NODE_3_length_1094599_cov_12.696194.60	16.833
NODE_3_length_1094599_cov_12.696194.61	16.922
NODE_3_length_1094599_cov_12.696194.62	16.712
NODE_3_length_1094599_cov_12.696194.63	17.463
NODE_3_length_1094599_cov_12.696194.64	17.247
NODE_3_length_1094599_cov_12.696194.65	20.271
NODE_3_length_1094599_cov_12.696194.66	17.034
NODE_3_length_1094599_cov_12.696194.67	18.006
NODE_3_length_1094599_cov_12.696194.68	16.213
NODE_3_length_1094599_cov_12.696194.69	15.772
NODE_3_length_1094599_cov_12.696194.70	17.160
NODE_3_length_1094599_cov_12.696194.71	16.512
NODE_3_length_1094599_cov_12.696194.72	18.727
NODE_3_length_1094599_cov_12.696194.73	18.496
NODE_3_length_1094599_cov_12.696194.74	16.855
NODE_3_length_1094599_cov_12.696194.75	18.570
NODE_3_length_1094599_cov_12.696194.76	16.421
NODE_3_length_1094599_cov_12.696194.77	16.925
NODE_3_length_1094599_cov_12.696194.78	16.505
NODE_3_length_1094599_cov_12.696194.79	16.169
NODE_3_length_1094599_cov_12.696194.80	16.373
NODE_3_length_1094599_cov_12.696194.81	17.628
NODE_3_length_1094599_cov_12.696194.82	17.327
NODE_3_length_1094599_cov_12.696194.83	16.110
NODE_3_length_1094599_cov_12.696194.84	17.142
NODE_3_length_1094599_cov_12.696194.85	15.616
NODE_3_length_1094599_cov_12.696194.86	17.180
NODE_3_length_1094599_cov_12.696194.87	15.163
NODE_3_length_1094599_cov_12.696194.88	16.263
NODE_3_length_1094599_cov_12.696194.89	17.114
NODE_3_length_1094599_cov_12.696194.90	16.977
NODE_3_length_1094599_cov_12.696194.91	17.800
NODE_3_length_1094599_cov_12.696194.92	15.602
NODE_3_length_1094599_cov_12.696194.93	16.894
NODE_3_length_1094599_cov_12.696194.94	15.603
NODE_3_length_1094599_cov_12.696194.95	15.833
NODE_3_length_1094599_cov_12.696194.96	16.555
NODE_3_length_1094599_cov_12.696194.97	14.877
NODE_3_length_1094599_cov_12.696194.98	17.252
NODE_3_length_1094599_cov_12.696194.99	17.631
NODE_3_length_1094599_cov_12.696194.100	15.543
NODE_3_length_1094599_cov_12.696194.101	18.503
NODE_3_length_1094599_cov_12.696194.102	17.401
NODE_3_length_1094599_cov_12.696194.103	17.084
NODE_3_length_1094599_cov_12.696194.104	17.048
NODE_3_length_1094599_cov_12.696194.105	16.123
NODE_3_length_1094599_cov_12.696194.106	17.176
NODE_3_length_1094599_cov_12.696194.107	17.325
NODE_3_length_1094599_cov_12.696194.108	17.449
NODE_4_length_676421_cov_238.222706.0	305.847
NODE_4_length_676421_cov_238.222706.1	307.920
NODE_4_length_676421_cov_238.222706.2	304.461
NODE_4_length_676421_cov_238.222706.3	303.774
NODE_4_length_676421_cov_238.222706.4	305.877
NODE_4_length_676421_cov_238.222706.5	300.866
NODE_4_length_676421_cov_238.222706.6	310.555
NODE_4_length_676421_cov_238.222706.7	308.793
NODE_4_length_676421_cov_238.222706.8	307.097
NODE_4_length_676421_cov_238.222706.9	304.679
NODE_4_length_676421_cov_238.222706.10	310.154
NODE_4_length_676421_cov_238.222706.11	305.041
NODE_4_length_676421_cov_238.222706.12	303.959
NODE_4_length_676421_cov_238.222706.13	311.230
NODE_4_length_676421_cov_238.222706.14	303.898
NODE_4_length_676421_cov_238.222706.15	304.864
